"symbol","date","open","high","low","close","volume","adjusted"
"MA",2012-01-03,37.8370018005371,37.8639984130859,36.5610008239746,36.8370018005371,14708000,34.2315101623535
"MA",2012-01-04,36.4970016479492,36.673999786377,35.2569999694824,35.625,22841000,33.1052398681641
"MA",2012-01-05,35.3800010681152,35.5629997253418,35.0550003051758,35.2410011291504,14757000,32.7621803283691
"MA",2012-01-06,35.3359985351562,35.4000015258789,34.1780014038086,34.2919998168945,20887000,31.8799419403076
"MA",2012-01-09,34.4869995117188,34.7820014953613,34.2089996337891,34.5820007324219,11486000,32.1495361328125
"MA",2012-01-10,34.875,35.1279983520508,34.523998260498,34.882999420166,10252000,32.4293594360352
"MA",2012-01-11,33.9980010986328,34.5559997558594,33.9049987792969,34.1469993591309,14353000,31.7451438903809
"MA",2012-01-12,34.1500015258789,34.4850006103516,33.9560012817383,34.3300018310547,13262000,31.9152660369873
"MA",2012-01-13,34.1590003967285,34.5970001220703,33.7319984436035,33.9080009460449,12545000,31.52294921875
"MA",2012-01-17,34.1069984436035,34.7000007629395,34.0509986877441,34.5970001220703,11118000,32.1634788513184
"MA",2012-01-18,34.5989990234375,35.451000213623,34.5670013427734,35.2379989624023,12440000,32.7594032287598
"MA",2012-01-19,35.548999786377,35.5999984741211,35.0519981384277,35.2900009155273,8855000,32.8077239990234
"MA",2012-01-20,34.9970016479492,35,33.75,34.0660018920898,18952000,31.6698360443115
"MA",2012-01-23,33.9949989318848,34.3899993896484,33.6259994506836,33.9059982299805,10343000,31.5210838317871
"MA",2012-01-24,33.8460006713867,34.4599990844727,33.7299995422363,34.2680015563965,6830000,31.857629776001
"MA",2012-01-25,34.2159996032715,34.9879989624023,34.0999984741211,34.8769989013672,8994000,32.4237937927246
"MA",2012-01-26,34.9010009765625,35.4939994812012,34.7220001220703,34.7830009460449,9230000,32.3364105224609
"MA",2012-01-27,34.7750015258789,35.1699981689453,34.5610008239746,34.8790016174316,7243000,32.4256439208984
"MA",2012-01-30,34.6969985961914,35.2369995117188,34.625,35.1969985961914,8240000,32.7212982177734
"MA",2012-01-31,35.5369987487793,35.8650016784668,35.2439994812012,35.556999206543,10633000,33.0559501647949
"MA",2012-02-01,35.8240013122559,36.1230010986328,35.5999984741211,35.7620010375977,14580000,33.2465400695801
"MA",2012-02-02,36.7159996032715,38.4249992370605,36.7159996032715,38.1570014953613,35026000,35.4730758666992
"MA",2012-02-03,38.2050018310547,39.1300010681152,38.2050018310547,39.0320014953613,22332000,36.2865257263184
"MA",2012-02-06,39.2999992370605,39.2999992370605,38.7000007629395,39.1310005187988,11256000,36.3785667419434
"MA",2012-02-07,39.1990013122559,39.4480018615723,38.8650016784668,39.2910003662109,12568000,36.5273132324219
"MA",2012-02-08,39.3019981384277,39.515998840332,39.0250015258789,39.4910011291504,10090000,36.7132415771484
"MA",2012-02-09,39.9970016479492,40.1790008544922,39.4269981384277,39.6399993896484,1e+07,36.8517684936523
"MA",2012-02-10,39.4000015258789,39.6980018615723,39.2410011291504,39.6139984130859,7484000,36.8275909423828
"MA",2012-02-13,39.9519996643066,40,39.5320014953613,39.6650009155273,5847000,36.8750076293945
"MA",2012-02-14,39.6469993591309,39.6549987792969,39.3819999694824,39.5550003051758,7660000,36.7727508544922
"MA",2012-02-15,39.8800010681152,39.9729995727539,39.2649993896484,39.2960014343262,7305000,36.5319633483887
"MA",2012-02-16,39.4099998474121,39.5870018005371,38.9770011901855,39.314998626709,7223000,36.549617767334
"MA",2012-02-17,39.4720001220703,39.6990013122559,39.2290000915527,39.5999984741211,7688000,36.8145713806152
"MA",2012-02-21,39.5449981689453,40.0789985656738,39.4010009765625,39.9550018310547,11588000,37.1446113586426
"MA",2012-02-22,39.7980003356934,40.8540000915527,39.7980003356934,40.6829986572266,10087000,37.8213958740234
"MA",2012-02-23,40.6790008544922,40.7770004272461,40.4230003356934,40.6100006103516,8216000,37.7535591125488
"MA",2012-02-24,40.8320007324219,41.8759994506836,40.6189994812012,41.5610008239746,12869000,38.6376457214355
"MA",2012-02-27,41.2330017089844,42.2080001831055,41.0970001220703,42.1399993896484,8754000,39.1759223937988
"MA",2012-02-28,42.1469993591309,42.5999984741211,42.0009994506836,42.3969993591309,9691000,39.4148445129395
"MA",2012-02-29,42.4129981994629,42.8569984436035,41.7610015869141,42,10991000,39.0457801818848
"MA",2012-03-01,42.2490005493164,42.3279991149902,41.7000007629395,42.0429992675781,8726000,39.0857429504395
"MA",2012-03-02,41.6500015258789,41.9469985961914,41.2680015563965,41.2779998779297,9652000,38.3745498657227
"MA",2012-03-05,41.4519996643066,41.9300003051758,41.2130012512207,41.7620010375977,8318000,38.8244934082031
"MA",2012-03-06,41.0970001220703,41.2130012512207,40.6279983520508,40.8339996337891,9358000,37.961784362793
"MA",2012-03-07,41.1310005187988,41.4990005493164,41.064998626709,41.173999786377,8394000,38.2778663635254
"MA",2012-03-08,41.4459991455078,41.8930015563965,41.3549995422363,41.726001739502,7095000,38.7910308837891
"MA",2012-03-09,41.8170013427734,42.1069984436035,41.5509986877441,41.9519996643066,7354000,39.0011329650879
"MA",2012-03-12,41.806999206543,42.3629989624023,41.7529983520508,41.9860000610352,6463000,39.0327568054199
"MA",2012-03-13,42.2000007629395,42.3339996337891,41.6800003051758,42.3219985961914,7528000,39.3451118469238
